Title,Description,Url,Started On,Finished On
Election Exit Poll Prediction and U.S.A Presidential Speech Analysis using Machine Learning,"This project is based on 2 case-studies:  1-Vote Prediction  2- Text Analysis.   The first project is to predict which party a citizen is going to vote for on the basis of their age and according to the answers given by the citizens to the questions asked in a survey conducted. The second project is based on the analysis of the inaugural U.S.A. Presidential speeches. One has to draw inferences based on the analysis done on these speeches.  Skills and Tools: Text Mining Analytics, Support Vector Machine - K Nearest Neighbors - Naïve Bayes, Ensemble Techniques, Logistic Regression - Linear Discriminant Analysis",https://eportfolio.greatlearning.in/shreyansh-k-vaghela,Jan 2021,Mar 2021
Election Exit Poll Prediction and U.S.A Presidential Speech Analysis using Machine Learning,"This project is based on 2 case-studies:  1-Vote Prediction  2- Text Analysis.   The first project is to predict which party a citizen is going to vote for on the basis of their age and according to the answers given by the citizens to the questions asked in a survey conducted. The second project is based on the analysis of the inaugural U.S.A. Presidential speeches. One has to draw inferences based on the analysis done on these speeches.  Skills and Tools: Text Mining Analytics, Support Vector Machine - K Nearest Neighbors - Naïve Bayes, Ensemble Techniques, Logistic Regression - Linear Discriminant Analysis",https://eportfolio.greatlearning.in/shreyansh-k-vaghela,Jan 2021,Mar 2021
Customer Behaviour Analysis - Email Optins,"Objective: provide insight to email marketing team about various marketing surveys to increase optin to purchase various services Records size: 50 Million+ Activities: • Data integration: gather, pre-process, clean data • Trend analysis: find trend, if present in data • Engagement analysis: see how current customer engagement is performing • Purchase behavioural analysis: find if customer follow any specific behaviour while purchase • Root cause analysis: see if customer don’t prefer to buy product • Customer journey analysis: understand end to end customer journey",,Apr 2021,Jul 2022
Market Basket Analysis : Consumer Segmentation,"Business Problem: Email marketing team want to understand that which US & CA email campaigns are performing well and performing poor with actionable business insights to deactivate needed ones I collected data from various sources to pre-process or clean to action further EDA: I executed Uni variate, Bi variate analysis, correlation and feature importance Trend analysis: I gave a tableau dashboard ‘trend and forecast’ campaign’s performance with business ‘insights and recommendations’ Engagement analysis: I delivered market basket analysis [RFM based] to segment campaign based on engagement bucket [High/Low] & value bucket [High/Low] Purchase behavioural analysis: I deliver a tableau dashboard report which highlight single time purchaser and multi time purchaser based on campaign’s email Customer journey analysis: I delivered a report which explain top customer’s campaign journey with engagement and value generation differences to identify clear actional business insights email engagement investigation, email frequency analysis, non-emailed contacts Pre purchase analysis & Post purchase analysis: Based on campaign, I generated clear report to explain customer pre purchase and post purchase behaviour & which are points inspire customer to purchase often",,Apr 2021,Jul 2022
NLP Based Document Clasifier,Delivered business an automate solutions which clssify chatbot-user conversation. before this project this process was done by  manual efforts at different levels. now with help of this project business can address ~5K cases daily in ~10minuates.,,Nov 2021,Jul 2022
Project - Future,"Conducted due diligence on a social media platform, generating 15+ KPIs and performing QC checks to highlight anomalies and trends.",https://medium.com/@the.shreyansh/data-science-to-derive-kpi-data-integrity-quality-check-based-on-consumers-transactional-data-b3bde85cd7b9,Jul 2022,Oct 2022
Project - Lens,"Facilitated the distribution of INR 200 crores in unclaimed insurance funds within three months, enhancing customer traceability using PCA and machine learning.",,Jul 2022,Feb 2023
Project - Aroha,Developed an automated SQL system for loan calculations and introduced an Excel challenger model for real-time comparisons.,,Oct 2022,Feb 2023
Project - Color,"Conducted a comprehensive review of a loyalty program for painters, identifying gaps, weaknesses, and security issues.",,Oct 2022,Feb 2023
Project - Sangath,"Conducted forensic due diligence on a B2B travel company, involving public record research and market inquiries.",,Jan 2023,Mar 2023
Project - Grape,"Performed comprehensive due diligence, examining user engagement levels, data quality, and KPIs.",,Feb 2023,Oct 2023
Project - Deals (Phase II),[Insider Trading and Front Running] Assisted an asset management firm in detecting insider trading and front running through machine learning and data analysis.,,Feb 2023,Mar 2023
Project -Logistiks,"Following a comprehensive two-week workshop and visits to different plants to gain a deep understanding of the processes, provided the client with invaluable data-driven insights, highlighting process gaps, inefficiencies, root causes, and recommendations for optimizing their end-to-end logistics operations.",,Oct 2023,
